,Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Buy or Sell,Open or Close,Date_split,Type_split,Action_split,Symbol_split,Instrument Type_split,Description_split,Value_split,Quantity_split,Average Price_split,Commissions_split,Fees_split,Multiplier_split,Strike Price_split,Call or Put_split,Order #_split,Buy or Sell_split,Open or Close_split
0,2020-07-06 16:31:32+00:00,TRADE,BUY_TO_OPEN,IWM   200821P00132000,Equity Option,Bought 1 IWM 08/21/20 Put 132.00 @ 3.43,-343.0,1,-343.0,-1.0,-0.14,100.0,IWM,2020-08-21,132.0,PUT,90174785.0,BUY,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
1,2020-07-06 16:31:32+00:00,TRADE,SELL_TO_OPEN,IWM   200821P00135000,Equity Option,Sold 1 IWM 08/21/20 Put 135.00 @ 4.16,416.0,1,416.0,-1.0,-0.152,100.0,IWM,2020-08-21,135.0,PUT,90174785.0,SELL,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
2,2020-07-06 16:51:38+00:00,TRADE,BUY_TO_OPEN,XLE   200821P00032000,Equity Option,Bought 1 XLE 08/21/20 Put 32.00 @ 0.65,-65.0,1,-65.0,-1.0,-0.14,100.0,XLE,2020-08-21,32.0,PUT,90182482.0,BUY,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
3,2020-07-06 16:51:38+00:00,TRADE,SELL_TO_OPEN,XLE   200821P00035000,Equity Option,Sold 1 XLE 08/21/20 Put 35.00 @ 1.39,139.0,1,139.0,-1.0,-0.152,100.0,XLE,2020-08-21,35.0,PUT,90182482.0,SELL,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
4,2020-07-21 13:38:45+00:00,TRADE,SELL_TO_CLOSE,IWM   200821P00132000,Equity Option,Sold 1 IWM 08/21/20 Put 132.00 @ 1.26,126.0,1,126.0,0.0,-0.152,100.0,IWM,2020-08-21,132.0,PUT,90176611.0,SELL,CLOSE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
5,2020-07-21 13:38:45+00:00,TRADE,BUY_TO_CLOSE,IWM   200821P00135000,Equity Option,Bought 1 IWM 08/21/20 Put 135.00 @ 1.66,-166.0,1,-166.0,0.0,-0.14,100.0,IWM,2020-08-21,135.0,PUT,90176611.0,BUY,CLOSE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
6,2020-08-03 13:36:39+00:00,TRADE,SELL_TO_OPEN,TNA   200807P00028000,Equity Option,Sold 2 TNA 08/07/20 Put 28.00 @ 0.63,126.0,2,63.0,-2.0,-0.284,100.0,TNA,2020-08-07,28.0,PUT,94763351.0,SELL,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
7,2020-08-03 14:37:43+00:00,TRADE,BUY_TO_OPEN,SLV   200918P00018000,Equity Option,Bought 2 SLV 09/18/20 Put 18.00 @ 0.15,-30.0,2,-15.0,-2.0,-0.27,100.0,SLV,2020-09-18,18.0,PUT,94820720.0,BUY,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
8,2020-08-03 14:37:43+00:00,TRADE,SELL_TO_OPEN,SLV   200918P00020000,Equity Option,Sold 2 SLV 09/18/20 Put 20.00 @ 0.47,94.0,2,47.0,-2.0,-0.284,100.0,SLV,2020-09-18,20.0,PUT,94820720.0,SELL,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
9,2020-08-03 14:37:43+00:00,TRADE,SELL_TO_OPEN,SLV   200918C00028500,Equity Option,Sold 2 SLV 09/18/20 Call 28.50 @ 0.46,92.0,2,46.0,-2.0,-0.284,100.0,SLV,2020-09-18,28.5,CALL,94820720.0,SELL,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
10,2020-08-03 14:37:43+00:00,TRADE,BUY_TO_OPEN,SLV   200918C00030500,Equity Option,Bought 2 SLV 09/18/20 Call 30.50 @ 0.33,-66.0,2,-33.0,-2.0,-0.27,100.0,SLV,2020-09-18,30.5,CALL,94820720.0,BUY,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
11,2020-08-05 13:30:08+00:00,TRADE,SELL_TO_CLOSE,XLE   200821P00032000,Equity Option,Sold 1 XLE 08/21/20 Put 32.00 @ 0.03,3.0,1,3.0,0.0,-0.152,100.0,XLE,2020-08-21,32.0,PUT,90182743.0,SELL,CLOSE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
12,2020-08-05 13:30:08+00:00,TRADE,BUY_TO_CLOSE,XLE   200821P00035000,Equity Option,Bought 1 XLE 08/21/20 Put 35.00 @ 0.36,-36.0,1,-36.0,0.0,-0.14,100.0,XLE,2020-08-21,35.0,PUT,90182743.0,BUY,CLOSE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
13,2020-08-07 20:00:00+00:00,EXPIRATION,EXP,TNA   200807P00028000,Equity Option,Removal of 2 TNA 08/07/20 Put 28.00 due to expiration.,0.0,2,0.0,0.0,0.0,100.0,TNA,2020-08-07,28.0,PUT,0.0,EXP,CLOSE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
14,2020-08-10 13:38:50+00:00,TRADE,SELL_TO_OPEN,TNA   200814P00034000,Equity Option,Sold 2 TNA 08/14/20 Put 34.00 @ 0.73,146.0,2,73.0,-2.0,-0.284,100.0,TNA,2020-08-14,34.0,PUT,96025720.0,SELL,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
15,2020-08-10 14:09:59+00:00,TRADE,BUY_TO_OPEN,TNA   200814P00032000,Equity Option,Bought 5 TNA 08/14/20 Put 32.00 @ 0.31,-155.0,5,-31.0,-5.0,-0.68,100.0,TNA,2020-08-14,32.0,PUT,96060755.0,BUY,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
16,2020-08-10 14:09:59+00:00,TRADE,SELL_TO_OPEN,TNA   200814P00034000,Equity Option,Sold 5 TNA 08/14/20 Put 34.00 @ 0.65,325.0,5,65.0,-5.0,-0.7,100.0,TNA,2020-08-14,34.0,PUT,96060755.0,SELL,OPEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
17,2020-08-11 13:33:28+00:00,TRADE,SELL_TO_CLOSE,TNA   200814P00032000,Equity Option,Sold 5 TNA 08/14/20 Put 32.00 @ 0.14,70.0,5,14.0,0.0,-0.7,100.0,TNA,2020-08-14,32.0,PUT,96062429.0,SELL,CLOSE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
18,2020-08-11 13:33:28+00:00,TRADE,BUY_TO_CLOSE,TNA   200814P00034000,Equity Option,Bought 5 TNA 08/14/20 Put 34.00 @ 0.32,-160.0,5,-32.0,0.0,-0.68,100.0,TNA,2020-08-14,34.0,PUT,96062429.0,BUY,CLOSE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0
